motherboardId,partId,socket,formFactor,chipset,memoryMax,memoryType,memorySlot,color,pcieSixteenSlot,pcieEightSlot,pcieFourSlot,pcieOneSlot,pcieSlot,sataSlot,mTwoSlot,onboardEthernet,onboardVideo,usbTwoHeader,usbTwoHeaderSinglePort,usbThreeTwoGenOneHeader,usbThreeTwoGenTwoHeader,usbThreeTwoGenTwoByTwoHeader,wirelessNetworking,raidSupport,backConnectors,createdAt,updatedAt
71,192,LGA1700,ATX,Intel Z790,192,DDR5,4,Black,3,0,0,0,0,4,5,1 x 2.5 Gb/s (Intel),Depends on CPU,2,0,2,2,1,Wi-Fi 6E,0,0,11/25/2024 21:07,11/25/2024 21:07
72,193,LGA1700,MATX,Intel B760,128,DDR5,4,Silver / Black,4,0,0,0,0,6,2,1 x 2.5 Gb/s (Realtek),Depends on CPU,2,0,2,2,0,Wi-Fi 6,0,0,11/25/2024 21:07,11/25/2024 21:07
73,194,LGA1700,ATX,Intel Z790,192,DDR5,4,Black,3,0,0,0,0,6,3,1 x 2.5 Gb/s (Intel),Depends on CPU,2,0,2,2,1,Wi-Fi 6E,0,0,11/25/2024 21:07,11/25/2024 21:07
74,195,LGA1700,ITX,Intel H610,64,DDR4,2,Silver / Black,1,0,0,0,0,4,1,1 x 1 Gb/s (Realtek),Depends on CPU,1,0,1,1,0,None,0,0,11/25/2024 21:07,11/25/2024 21:07
75,196,LGA1700,ATX,Intel B760,192,DDR5,4,Black,2,0,0,2,0,4,3,1 x 2.5 Gb/s (Intel),Depends on CPU,2,0,1,1,0,Wi-Fi 6E,0,0,11/25/2024 21:07,11/25/2024 21:07
76,197,LGA1700,ATX,Intel B660,128,DDR4,4,Silver / Black,2,0,0,2,0,4,3,1 x 2.5 Gb/s (Realtek),Depends on CPU,2,0,1,1,0,None,0,0,11/25/2024 21:07,11/25/2024 21:07
77,198,LGA1700,ATX,Intel Z790,128,DDR4,4,Black,2,0,1,2,0,4,4,1 x 2.5 Gb/s (Intel),Depends on CPU,2,0,1,1,0,Wi-Fi 6,0,0,11/25/2024 21:07,11/25/2024 21:07
78,199,LGA1700,MATX,Intel H610,64,DDR4,2,Silver / Black,1,0,0,1,0,4,1,1 x 1 Gb/s (Realtek),Depends on CPU,1,0,1,1,0,None,0,0,11/25/2024 21:07,11/25/2024 21:07
79,200,LGA1700,ITX,Intel Z790,96,DDR5,2,Black,1,0,0,0,0,2,2,1 x 2.5 Gb/s (Intel),Depends on CPU,1,0,1,1,1,Wi-Fi 6E,0,0,11/25/2024 21:07,11/25/2024 21:07
80,201,LGA1700,ATX,Intel Z690,192,DDR5,4,Black / Gray,2,0,1,2,0,4,4,1 x 2.5 Gb/s (Intel),Depends on CPU,2,0,1,1,0,Wi-Fi 6,0,0,11/25/2024 21:07,11/25/2024 21:07
81,202,LGA1700,ATX,Intel B760,128,DDR4,4,Silver / Black,2,0,0,2,0,4,3,1 x 2.5 Gb/s (Realtek),Depends on CPU,2,0,1,1,0,None,0,0,11/25/2024 21:07,11/25/2024 21:07
82,203,LGA1700,MATX,Intel B760,192,DDR5,4,Black,2,0,0,1,0,4,3,1 x 2.5 Gb/s (Realtek),Depends on CPU,2,0,1,1,0,Wi-Fi 6,0,0,11/25/2024 21:07,11/25/2024 21:07
83,204,LGA1700,ATX,Intel Z790,128,DDR4,4,Black / Silver,3,0,0,1,0,4,4,1 x 2.5 Gb/s (Intel),Depends on CPU,2,0,1,1,1,Wi-Fi 6E,0,0,11/25/2024 21:07,11/25/2024 21:07
84,205,LGA1700,ATX,Intel Z790,192,DDR5,4,Silver / Black,2,0,1,0,0,4,4,1 x 2.5 Gb/s (Intel),Depends on CPU,2,0,1,1,0,Wi-Fi 7,0,0,11/25/2024 21:07,11/25/2024 21:07
85,206,LGA1700,ATX,Intel Z690,128,DDR4,4,Black / Silver,2,0,1,2,0,4,4,1 x 2.5 Gb/s (Intel),Depends on CPU,2,0,1,1,0,Wi-Fi 6,0,0,11/25/2024 21:07,11/25/2024 21:07
86,207,LGA1700,MATX,Intel Z790,192,DDR5,4,Silver / Black,2,0,0,2,0,4,3,1 x 1 Gb/s (Intel),Depends on CPU,2,0,1,1,0,None,0,0,11/25/2024 21:07,11/25/2024 21:07
87,208,LGA1700,MATX,Intel B760,128,DDR4,4,Black / Orange,2,0,0,1,0,4,2,1 x 2.5 Gb/s (Realtek),Depends on CPU,2,0,1,1,0,Wi-Fi 6,0,0,11/25/2024 21:07,11/25/2024 21:07
88,209,LGA1700,ATX,Intel B660,128,DDR4,4,Silver / Black,2,0,0,2,0,4,3,1 x 2.5 Gb/s (Intel),Depends on CPU,1,0,1,1,0,Wi-Fi 6,0,0,11/25/2024 21:07,11/25/2024 21:07
89,210,LGA1700,ATX,Intel B760,192,DDR4,4,Black / Orange,2,0,0,2,0,4,3,1 x 2.5 Gb/s (Realtek),Depends on CPU,2,0,1,1,0,Wi-Fi 6,0,0,11/25/2024 21:07,11/25/2024 21:07
90,211,LGA1700,MATX,Intel B660,64,DDR4,2,Silver / Black,1,0,0,2,0,4,2,1 x 1 Gb/s (Realtek),Depends on CPU,2,0,1,1,0,None,0,0,11/25/2024 21:07,11/25/2024 21:07
91,212,LGA1700,ATX,Intel Z690,192,DDR5,4,Silver / Black,3,0,0,0,0,6,3,1 x 10 Gb/s (Marvell),Depends on CPU,2,0,2,2,1,Wi-Fi 6,0,0,11/25/2024 21:07,11/25/2024 21:07
92,213,LGA1700,MATX,Intel B760,64,DDR4,2,Silver / Black,1,0,0,2,0,4,2,1 x 2.5 Gb/s (Realtek),Depends on CPU,1,0,1,1,0,None,0,0,11/25/2024 21:07,11/25/2024 21:07
93,214,LGA1700,ATX,Intel Z690,128,DDR4,4,Silver / Black,4,0,0,1,0,4,3,1 x 2.5 Gb/s (Realtek),Depends on CPU,2,0,2,2,0,None,0,0,11/25/2024 21:07,11/25/2024 21:07
94,215,LGA1700,MATX,Intel H610,64,DDR4,2,Silver / Black,1,0,0,1,0,4,2,1 x 1 Gb/s (Realtek),Depends on CPU,2,0,1,1,0,None,0,0,11/25/2024 21:07,11/25/2024 21:07
95,216,LGA1700,ATX,Intel Z790,192,DDR5,4,Silver / Black,3,0,0,1,0,4,4,1 x 2.5 Gb/s (Intel),Depends on CPU,2,0,1,1,1,Wi-Fi 6E,0,0,11/25/2024 21:07,11/25/2024 21:07
96,217,LGA1700,ATX,Intel Z790,192,DDR5,4,Black,3,0,0,1,0,4,4,1 x 2.5 Gb/s (Intel),Depends on CPU,2,0,1,1,1,Wi-Fi 6E,0,0,11/25/2024 21:07,11/25/2024 21:07
97,218,LGA1700,ATX,Intel Z690,192,DDR5,4,Black / Silver,2,0,0,1,0,6,4,1 x 2.5 Gb/s (Intel),Depends on CPU,2,0,1,1,1,Wi-Fi 6,0,0,11/25/2024 21:07,11/25/2024 21:07
98,219,LGA1700,ATX,Intel Z690,192,DDR5,4,Silver / Black,2,0,1,2,0,4,4,1 x 2.5 Gb/s (Intel),Depends on CPU,2,0,1,1,0,None,0,0,11/25/2024 21:07,11/25/2024 21:07
99,220,LGA1700,ATX,Intel Z690,96,DDR5,2,Black / Silver,2,0,1,1,0,6,4,1 x 2.5 Gb/s (Intel),No,2,0,2,2,1,Wi-Fi 6,0,0,11/25/2024 21:07,11/25/2024 21:07
100,221,LGA1700,MATX,Intel B660,128,DDR4,4,Orange / Black,2,0,0,1,0,4,2,1 x 2.5 Gb/s (Realtek),Depends on CPU,2,0,1,1,0,None,0,0,11/25/2024 21:07,11/25/2024 21:07
101,222,LGA1700,ATX,Intel Z690,192,DDR5,4,Black / Silver,3,0,0,0,0,6,3,1 x 2.5 Gb/s (Intel),Depends on CPU,2,0,2,2,1,Wi-Fi 6,0,0,11/25/2024 21:07,11/25/2024 21:07
102,223,LGA1700,MATX,Intel B660,128,DDR4,4,Silver / Black,3,0,0,0,0,4,2,1 x 1 Gb/s (Intel),Depends on CPU,2,0,2,2,0,None,0,0,11/25/2024 21:07,11/25/2024 21:07
103,224,LGA1700,ATX,Intel B660,128,DDR4,4,Yellow / Black,2,0,0,2,0,4,3,1 x 2.5 Gb/s (Intel),Depends on CPU,2,0,1,1,0,Wi-Fi 6,0,0,11/25/2024 21:07,11/25/2024 21:07
